Plant,Material Number,Material Description
4331,90119T0156,"BOLT, W/WASHER"
4331,821C1KK250,"WIRE, INSTRUMENT PANEL"
4350,17880BZ070,"HOSE ASSY, AIR CLEANER"
4332,17880BZ070,"HOSE ASSY, AIR CLEANER"
4350,17880BZ080,"HOSE ASSY, AIR CLEANER"
4332,17880BZ080,"HOSE ASSY, AIR CLEANER"
4332,33820BZ580,"CABLE ASSY, TRANSMISSION CONTROL"
4331,82143KKE90,"WIRE, INSTRUMENT PANEL, NO.3"
4331,82143KKF00,"WIRE, INSTRUMENT PANEL, NO.3"
4331,82143KKF10,"WIRE, INSTRUMENT PANEL, NO.3"
4331,82877VT010,"BOX, COMPUTER INTEGRATION, RH"
4331,82877VT020,"BOX, COMPUTER INTEGRATION, RH"
4350,19114BZ040,"COVER, WATER PROOF"
4332,19114BZ040,"COVER, WATER PROOF"
4350,77203BZ010,"TUBE SUB-ASSY, FUEL SUCTION"
4350,77308BZ030,"HINGE SUB-ASSY, FUEL"
4350,692420D140,"PAD, FR DOOR OUTSIDE HANDLE, RR"
4350,693390D060,"LABEL, CHILD PROTECTOR INFORMATION"
4350,67924BZ020,"CLAMP, DOOR SCUFF PLATE, NO.2"
4332,67924BZ020,"CLAMP, DOOR SCUFF PLATE, NO.2"
4331,827111E260,"CLAMP, WIRING HARNESS"
4350,84140BZ461,"SWITCH ASSY, HEADLAMP DIMMER"
4350,84140BZ471,"SWITCH ASSY, HEADLAMP DIMMER"
4350,84140BZ491,"SWITCH ASSY, HEADLAMP DIMMER"
4350,84140BZ501,"SWITCH ASSY, HEADLAMP DIMMER"
4350,84652BZ361,"SWITCH, WINDSHIELD WIPER"
4350,84652BZ371,"SWITCH, WINDSHIELD WIPER"
4350,84652BZ401,"SWITCH, WINDSHIELD WIPER"
4350,84652BZ411,"SWITCH, WINDSHIELD WIPER"
4350,84870BZ190,"SWITCH ASSY, OUTER MIRROR"
4350,84870BZ320,"SWITCH ASSY, OUTER MIRROR"
4350,G12600J020,"PIPE ASSY, MOTOR COOLING, NO.2"
4332,G12600J020,"PIPE ASSY, MOTOR COOLING, NO.2"
4331,47313KK130,"TUBE, FR BRAKE, NO.3"
4350,81170BZ030,"UNIT A/S,HEADLAMP,LH"
4350,81170BZ270,UNIT A/S HEADLAMP LH
4350,81170BZ470,"UNIT ASSY, HEADLAMP,"
4350,81221BZ060,"LAMP UNIT,FOG LH"
4350,81480BZ030,LAMP ASSY RR FOG
4350,81550BZ200,"LAMP ASSY,RR COMB,RH"
4350,84970BZ300,"SWITCH ASSY, COMBINATION"
4350,81560BZ190,"LAMP ASSY,RR COMB,LH"
4350,81561BZ090,LENS & BODY
4331,82171VT170,"WIRE, ROOF"
4331,83A00FBL20,"METER ASSY, COMBINATION"
4350,89070BZ462,"TRANSMITTER ASSY, DOOR CONTROL"
4350,P51700KA0A,"SIDE BODY MOULDING, FRRH"
4350,P51860K02N,TAPE STRIPE A W/O CHROME LIGHT COLOR LH
4350,P51860K02W,TAPE STRIPE B  LIGHT COLOR RH
4350,P51860K02X,TAPE STRIPE B  LIGHT COLOR LH
4350,P54030KA0W,ARCH WHEEL EXTENSION RRLH (UMWT)
4350,P55C10K00G,SUV WIRELESS CHARGER  FOR A/T
4350,9004A11379,BOLT FLANGE W/WASHER
4350,P5403BY01R,"TAPE, MOULDING, NO.7"
4350,P5403BY01S,"TAPE, MOULDING, NO.8"
4350,P5403BY027,"TAPE, MOULDING, NO.11"
4350,P5403BY028,"TAPE, MOULDING, NO.12"
4350,P5403BY01J,"TAPE, MOULDING, NO.1"
4350,P5403BY01K,"TAPE, MOULDING, NO.2"
4350,P5403BY01L,"TAPE, MOULDING, NO.3"
4350,P5403BY01M,"TAPE, MOULDING, NO.4"
4350,P5403BY01N,"TAPE, MOULDING, NO.5"
4350,81590BZ061,"LAMP ASSY, RR, LH"
4332,9017906026,NUT
4360,53813F1010,"PANEL, FR SIDE, RH"
4360,53813F1010,"PANEL, FR SIDE, RH"
4350,743480K100,"HOLDER, VISOR"
4331,743480K100,"HOLDER, VISOR"
4350,745960K040,"LABEL, SIDE AIR BAG"
4350,754410D070,"PLATE, BACK DOOR NAME"
4350,P5403BY021,"TAPE, MOULDING, NO.5"
4350,81740BZ110,LAMP AS TURN SIGN LH
4350,64818VT010,SPACER BCK WDO GLASS
4350,64828VT010,CLIP BCK WDO GLASS L
4350,81920BZ070,"REFLECTOR ASSY,LH"
4350,773500D180,"LID ASSY, FUEL FILLER OPENING"
4350,81920BZ140,"REFLECTOR ASSY, LH"
4332,01999BZ442,"MANUAL, OWNERS"
4332,11298BZ130,"LABEL, EMISSION CONTROL INFORMATION"
4332,11298BZ140,"LABEL, EMISSION CONTROL INFORMATION"
4350,82111BYK00,"WIRE, ENGINE ROOM MAIN"
4332,82111BYK00,"WIRE, ENGINE ROOM MAIN"
4350,82111BYK10,"WIRE, ENGINE ROOM MAIN"
4332,82111BYK10,"WIRE, ENGINE ROOM MAIN"
4331,89904VT091,"TRANSMITTER SUB-ASSY, ELECTRICAL KEY"
4331,89904VT011,"TRANSMITTER SUB-ASSY, ELECTRICAL KEY"
4331,89904VT071,"TRANSMITTER SUB-ASSY, ELECTRICAL KEY"
4331,89904VT111,"TRANSMITTER SUB-ASSY, ELECTRICAL KEY"
4331,89904VT081,"TRANSMITTER SUB-ASSY, ELECTRICAL KEY"
